year,age,maritl,race,education,region,jobclass,health,health_ins,logwage,wage
2005,49,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,5.626186335,277.6014175
2006,43,Married,White,HS Grad,Middle Atlantic,Industrial,Good,Yes,4.431363764,84.04595765
2004,34,Married,Other,HS Grad,Middle Atlantic,Industrial,Good,Yes,4.176091259,65.11085372
2008,57,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,No,4.755874856,116.2653241
2003,18,Never Married,Black,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.255272505,70.47601965
2004,55,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,5.276461804,195.676308
2005,51,Married,White,Some College,Middle Atlantic,Information,Very Good,Yes,4.619093331,101.4020523
2008,33,Never Married,White,Advanced Degree,Middle Atlantic,Industrial,Very Good,No,4.397940009,81.28325328
2005,34,Never Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,No,4.716003344,111.7208494
2006,36,Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,4.498475968,89.88004678
2003,56,Never Married,White,Advanced Degree,Middle Atlantic,Information,Good,Yes,4.477121255,87.98103279
2006,70,Never Married,White,College Grad,Middle Atlantic,Industrial,Good,Yes,4.477121255,87.98103279
2004,25,Never Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Yes,4.643452676,103.9024706
2006,32,Married,White,Some College,Middle Atlantic,Industrial,Very Good,No,4.662757832,105.9278108
2003,27,Married,White,Below HS Grad,Middle Atlantic,Industrial,Very Good,No,4.193124598,66.22940829
2004,28,Married,Asian,College Grad,Middle Atlantic,Industrial,Very Good,No,3.544068044,34.60741773
2007,27,Never Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,4.698970004,109.8339856
2004,43,Never Married,White,Below HS Grad,Middle Atlantic,Industrial,Good,No,3.812913357,45.28216999
2005,50,Never Married,Other,Below HS Grad,Middle Atlantic,Industrial,Good,Yes,4.301029996,73.77574327
2004,39,Married,Black,HS Grad,Middle Atlantic,Information,Very Good,No,4.397940009,81.28325328
2008,52,Married,White,Advanced Degree,Middle Atlantic,Industrial,Very Good,Yes,5.041392685,154.685293
2009,35,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Yes,5.590617833,267.9010869
2007,57,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,5.176091259,176.9896505
2006,25,Never Married,White,Below HS Grad,Middle Atlantic,Industrial,Very Good,No,4.193124598,66.22940829
2006,33,Never Married,White,HS Grad,Middle Atlantic,Information,Good,Yes,4.755874856,116.2653241
2005,57,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,No,5.301029996,200.5432623
2008,71,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Yes,4.62324929,101.8243521
2004,43,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Yes,5.606885241,272.2947832
2003,23,Never Married,White,Some College,Middle Atlantic,Industrial,Very Good,No,3.556302501,35.03342132
2009,30,Never Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,4.740362689,114.4757133
2004,22,Never Married,Black,HS Grad,Middle Atlantic,Information,Very Good,Yes,4.397940009,81.28325328
2006,59,Married,White,Advanced Degree,Middle Atlantic,Information,Good,Yes,5.301029996,200.5432623
2003,28,Never Married,Asian,College Grad,Middle Atlantic,Information,Very Good,Yes,5,148.4131591
2004,61,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.602059991,99.6894637
2003,34,Married,White,HS Grad,Middle Atlantic,Information,Very Good,Yes,4.716003344,111.7208494
2005,43,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Yes,5.029383778,152.838801
2006,54,Married,White,Some College,Middle Atlantic,Industrial,Very Good,No,4.763427994,117.1468169
2005,69,Married,White,HS Grad,Middle Atlantic,Industrial,Good,Yes,4.353339095,77.7376033
2004,41,Married,White,Some College,Middle Atlantic,Industrial,Good,Yes,4.477121255,87.98103279
2003,48,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,4.832508913,125.5254984
2003,49,Married,White,Some College,Middle Atlantic,Information,Very Good,Yes,4.814913181,123.336104
2009,42,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,5.064457989,158.2946214
2003,37,Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,5.301029996,200.5432623
2004,55,Married,Asian,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.602059991,99.6894637
2008,21,Never Married,Black,HS Grad,Middle Atlantic,Industrial,Very Good,No,4.255272505,70.47601965
2004,58,Married,White,HS Grad,Middle Atlantic,Information,Very Good,Yes,4.544068044,94.07271475
2006,31,Never Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,No,4.397940009,81.28325328
2006,25,Never Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.397940009,81.28325328
2006,32,Never Married,White,Some College,Middle Atlantic,Information,Very Good,Yes,4.612783857,100.7642728
2009,40,Never Married,Black,Below HS Grad,Middle Atlantic,Information,Very Good,Yes,4.544068044,94.07271475
2003,44,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,No,4.602059991,99.6894637
2003,60,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Yes,5.591980114,268.266292
2006,23,Never Married,White,Below HS Grad,Middle Atlantic,Industrial,Good,Yes,4.397940009,81.28325328
2003,63,Married,White,HS Grad,Middle Atlantic,Information,Very Good,No,4.73239376,113.5670896
2008,44,Never Married,White,Below HS Grad,Middle Atlantic,Industrial,Good,No,4.477121255,87.98103279
2005,47,Married,Asian,Advanced Degree,Middle Atlantic,Information,Good,Yes,4.857332496,128.6804882
2004,61,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Yes,4.670245853,106.7239776
2009,55,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,No,4.190331698,66.04469423
2003,24,Never Married,White,Below HS Grad,Middle Atlantic,Industrial,Good,No,3.942008053,51.52195631
2007,42,Widowed,White,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.447158031,85.38394038
2006,25,Married,White,HS Grad,Middle Atlantic,Information,Very Good,Yes,4.342422681,76.89360252
2004,34,Divorced,White,HS Grad,Middle Atlantic,Industrial,Very Good,No,4.505149978,90.48191336
2009,53,Married,White,Below HS Grad,Middle Atlantic,Information,Very Good,No,4.220631019,68.07642829
2009,53,Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,4.875061263,130.9821774
2009,70,Married,Asian,Advanced Degree,Middle Atlantic,Information,Good,No,4.851258349,127.901233
2004,47,Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,4.876910311,131.2245938
2003,46,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.602059991,99.6894637
2003,33,Divorced,White,Below HS Grad,Middle Atlantic,Industrial,Good,Yes,4.342422681,76.89360252
2005,34,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,4.681241237,107.9039239
2006,22,Never Married,White,HS Grad,Middle Atlantic,Industrial,Good,No,4.397940009,81.28325328
2009,74,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.602059991,99.6894637
2003,40,Married,Black,Some College,Middle Atlantic,Information,Good,Yes,4.591064607,98.59934386
2006,45,Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,5.301029996,200.5432623
2009,43,Married,Asian,College Grad,Middle Atlantic,Information,Very Good,Yes,5.053078443,156.5035109
2005,33,Married,Asian,College Grad,Middle Atlantic,Information,Very Good,Yes,4.976349979,144.944365
2009,62,Married,Black,College Grad,Middle Atlantic,Information,Very Good,Yes,4.77815125,118.8843593
2008,37,Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,4.799340549,121.4303138
2004,54,Married,White,HS Grad,Middle Atlantic,Information,Good,Yes,4.716003344,111.7208494
2005,34,Married,White,Some College,Middle Atlantic,Industrial,Very Good,No,4.230448921,68.74808773
2008,50,Never Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,4.740362689,114.4757133
2006,46,Divorced,White,Some College,Middle Atlantic,Industrial,Good,Yes,4.556302501,95.23071257
2007,41,Married,White,Below HS Grad,Middle Atlantic,Industrial,Very Good,No,4.477121255,87.98103279
2003,63,Divorced,Black,Some College,Middle Atlantic,Industrial,Good,Yes,4.163161375,64.27439722
2007,38,Married,White,Some College,Middle Atlantic,Industrial,Good,Yes,4.857332496,128.6804882
2006,35,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Yes,4.740362689,114.4757133
2009,29,Married,White,College Grad,Middle Atlantic,Information,Good,Yes,4.72427587,112.6488963
2008,66,Married,White,Below HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.397940009,81.28325328
2004,37,Married,White,HS Grad,Middle Atlantic,Information,Good,Yes,4.329357194,75.89548482
2006,39,Married,Black,HS Grad,Middle Atlantic,Information,Very Good,Yes,4.719720651,112.136923
2003,42,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,No,4.447158031,85.38394038
2007,51,Divorced,White,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.544068044,94.07271475
2009,55,Married,Asian,Advanced Degree,Middle Atlantic,Industrial,Good,Yes,4.740362689,114.4757133
2006,51,Married,White,Advanced Degree,Middle Atlantic,Industrial,Very Good,Yes,5.176091259,176.9896505
2008,38,Married,White,Advanced Degree,Middle Atlantic,Industrial,Good,Yes,5.623217234,276.7784133
2005,49,Married,White,HS Grad,Middle Atlantic,Information,Very Good,Yes,4.62324929,101.8243521
2006,42,Married,White,HS Grad,Middle Atlantic,Information,Very Good,No,4.51851394,91.69922611
2009,43,Separated,White,Below HS Grad,Middle Atlantic,Information,Good,No,4.462397998,86.69515483
2006,38,Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,5.093421685,162.9464607
2008,59,Married,Asian,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.936010796,139.2137881
2009,57,Married,White,Some College,Middle Atlantic,Industrial,Good,Yes,4.556302501,95.23071257
2005,25,Never Married,White,HS Grad,Middle Atlantic,Industrial,Good,No,4.204119983,66.96164432
2004,49,Married,White,College Grad,Middle Atlantic,Industrial,Good,Yes,4.87667961,131.1943236
2004,41,Married,White,Below HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.505149978,90.48191336
2009,38,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.740362689,114.4757133
2003,61,Married,White,Advanced Degree,Middle Atlantic,Industrial,Very Good,Yes,4.371067862,79.1280845
2007,49,Divorced,White,HS Grad,Middle Atlantic,Industrial,Good,Yes,4.650064561,104.5917379
2008,52,Divorced,White,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,4.886490725,132.4878211
2007,43,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,4.954242509,141.7751723
2008,60,Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,4.812913357,123.0896998
2005,46,Married,Asian,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,4.903089987,134.7053751
2004,21,Never Married,White,HS Grad,Middle Atlantic,Information,Very Good,No,4.021189299,55.76739051
2009,61,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Yes,4.672097858,106.9218141
2007,32,Married,Black,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,4.77815125,118.8843593
2004,58,Married,White,HS Grad,Middle Atlantic,Information,Good,Yes,4.477121255,87.98103279
2003,35,Never Married,White,HS Grad,Middle Atlantic,Information,Very Good,Yes,4.48784512,88.92960664
2004,26,Never Married,Black,HS Grad,Middle Atlantic,Information,Very Good,Yes,4.397940009,81.28325328
2006,32,Never Married,Black,HS Grad,Middle Atlantic,Industrial,Very Good,No,4.544068044,94.07271475
2003,37,Married,White,HS Grad,Middle Atlantic,Information,Very Good,Yes,4.672097858,106.9218141
2007,22,Never Married,Asian,HS Grad,Middle Atlantic,Industrial,Good,No,4.079181246,59.09706408
2005,51,Never Married,White,HS Grad,Middle Atlantic,Industrial,Good,No,4.176091259,65.11085372
2004,44,Divorced,White,Advanced Degree,Middle Atlantic,Information,Good,Yes,4.792391689,120.5894365
2005,35,Married,Asian,Advanced Degree,Middle Atlantic,Industrial,Very Good,Yes,5.06069784,157.7005277
2004,60,Married,White,HS Grad,Middle Atlantic,Information,Very Good,Yes,4.86332286,129.4536446
2007,40,Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,5.176091259,176.9896505
2004,35,Never Married,White,Below HS Grad,Middle Atlantic,Information,Very Good,No,4.079181246,59.09706408
2007,35,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,No,4.544068044,94.07271475
2008,47,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.903089987,134.7053751
2003,43,Never Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,4.397940009,81.28325328
2003,33,Married,White,Below HS Grad,Middle Atlantic,Industrial,Good,Yes,4.397940009,81.28325328
2003,60,Divorced,White,Advanced Degree,Middle Atlantic,Industrial,Very Good,Yes,5.033423755,153.4575153
2008,38,Married,Asian,Advanced Degree,Middle Atlantic,Industrial,Very Good,Yes,4.919078092,136.8763676
2005,53,Married,White,HS Grad,Middle Atlantic,Information,Very Good,No,4.318063335,75.04315402
2004,55,Married,White,Some College,Middle Atlantic,Information,Very Good,Yes,4.86923172,130.2208324
2003,57,Married,Black,HS Grad,Middle Atlantic,Information,Good,No,4.653212514,104.9215065
2005,64,Married,White,College Grad,Middle Atlantic,Information,Good,No,3.903089987,49.55533812
2007,43,Married,White,HS Grad,Middle Atlantic,Industrial,Good,Yes,4.819543936,123.9085676
2008,35,Married,Black,Some College,Middle Atlantic,Information,Very Good,Yes,4.812913357,123.0896998
2008,54,Married,White,HS Grad,Middle Atlantic,Information,Very Good,No,4.3586961,78.15516141
2007,45,Married,White,HS Grad,Middle Atlantic,Information,Good,Yes,4.301029996,73.77574327
2003,58,Divorced,Asian,College Grad,Middle Atlantic,Information,Very Good,Yes,4.929418926,138.2991269
2007,48,Married,White,College Grad,Middle Atlantic,Information,Good,No,4.84509804,127.1157438
2003,46,Married,Asian,Below HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.230448921,68.74808773
2004,46,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.435462121,84.39111475
2009,55,Married,White,Below HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.447158031,85.38394038
2006,51,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Yes,4.857332496,128.6804882
2005,49,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Yes,4.255272505,70.47601965
2008,34,Never Married,White,Some College,Middle Atlantic,Industrial,Very Good,Yes,4.342422681,76.89360252
2007,53,Married,White,Some College,Middle Atlantic,Industrial,Very Good,No,5,148.4131591
2004,40,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Yes,5,148.4131591
2009,50,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Yes,5.170261715,175.9608831
2006,37,Divorced,White,Below HS Grad,Middle Atlantic,Information,Good,Yes,4.591064607,98.59934386
2003,39,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Yes,4.977723605,145.1436012
2004,52,Married,White,College Grad,Middle Atlantic,Industrial,Good,Yes,4.602059991,99.6894637
2003,50,Married,White,HS Grad,Middle Atlantic,Information,Very Good,Yes,4.949390007,141.0888744
2006,48,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Yes,4.812913357,123.0896998
2006,47,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.86332286,129.4536446
2005,27,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Yes,4.716003344,111.7208494
2006,39,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.643452676,103.9024706
2009,44,Married,Black,HS Grad,Middle Atlantic,Information,Good,Yes,4.77815125,118.8843593
2003,37,Married,Black,Some College,Middle Atlantic,Industrial,Very Good,Yes,5.021189299,151.5914842
2006,52,Married,White,HS Grad,Middle Atlantic,Industrial,Good,No,4.62324929,101.8243521
2004,26,Never Married,Asian,Some College,Middle Atlantic,Industrial,Very Good,Yes,4.602059991,99.6894637
2008,39,Married,Asian,Advanced Degree,Middle Atlantic,Industrial,Good,Yes,4.602059991,99.6894637
2006,25,Married,Black,HS Grad,Middle Atlantic,Industrial,Good,No,4.602059991,99.6894637
2005,31,Never Married,White,College Grad,Middle Atlantic,Information,Very Good,No,4.544068044,94.07271475
2004,58,Married,White,Some College,Middle Atlantic,Industrial,Good,Yes,5.025305865,152.2168068
2005,30,Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,4.653212514,104.9215065
2004,27,Married,White,Below HS Grad,Middle Atlantic,Industrial,Good,Yes,4.176091259,65.11085372
2003,40,Divorced,White,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.556302501,95.23071257
2006,55,Married,White,Advanced Degree,Middle Atlantic,Industrial,Very Good,Yes,5.158362492,173.8794933
2009,35,Married,Asian,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,5.264817823,193.4110705
2008,48,Married,White,HS Grad,Middle Atlantic,Industrial,Good,No,4.740362689,114.4757133
2006,29,Never Married,Asian,College Grad,Middle Atlantic,Industrial,Good,Yes,5.079181246,160.6424754
2005,25,Never Married,White,Some College,Middle Atlantic,Industrial,Very Good,Yes,4.494154594,89.49247952
2004,40,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Yes,4.792391689,120.5894365
2006,27,Married,White,Below HS Grad,Middle Atlantic,Information,Good,No,4.301029996,73.77574327
2006,44,Married,White,HS Grad,Middle Atlantic,Information,Very Good,Yes,4.84509804,127.1157438
2006,49,Married,White,Some College,Middle Atlantic,Information,Very Good,Yes,4.77815125,118.8843593
2003,22,Never Married,White,Some College,Middle Atlantic,Industrial,Good,No,3.544068044,34.60741773
2007,45,Married,White,Some College,Middle Atlantic,Industrial,Good,Yes,4.740362689,114.4757133
2007,33,Married,White,Some College,Middle Atlantic,Industrial,Very Good,No,4.447158031,85.38394038
2007,63,Married,Black,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,5.763127627,318.3424301
2006,49,Never Married,Black,College Grad,Middle Atlantic,Industrial,Very Good,Yes,4.954242509,141.7751723
2005,39,Never Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,4.875061263,130.9821774
2007,25,Never Married,Other,Below HS Grad,Middle Atlantic,Industrial,Good,No,4.301029996,73.77574327
2005,29,Never Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,4.875061263,130.9821774
2006,37,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.318063335,75.04315402
2008,35,Married,White,Advanced Degree,Middle Atlantic,Information,Good,Yes,5.043362278,154.9902603
2009,46,Married,White,HS Grad,Middle Atlantic,Industrial,Good,Yes,4.653212514,104.9215065
2008,58,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Yes,4.292078772,73.11830692
2003,39,Married,White,Advanced Degree,Middle Atlantic,Industrial,Very Good,Yes,4.812913357,123.0896998
2008,41,Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,5.06069784,157.7005277
2008,29,Married,Black,College Grad,Middle Atlantic,Information,Very Good,Yes,4.397940009,81.28325328
2009,37,Married,White,College Grad,Middle Atlantic,Information,Good,Yes,4.67521908,107.2560621
2009,62,Married,White,HS Grad,Middle Atlantic,Information,Good,No,4.369215857,78.98167452
2008,27,Never Married,Black,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.301029996,73.77574327
2003,37,Married,White,HS Grad,Middle Atlantic,Industrial,Good,Yes,4.544068044,94.07271475
2006,56,Separated,Asian,College Grad,Middle Atlantic,Information,Good,No,4.602059991,99.6894637
2004,36,Married,White,Some College,Middle Atlantic,Information,Very Good,Yes,5.176091259,176.9896505
2005,23,Never Married,Other,HS Grad,Middle Atlantic,Information,Very Good,No,4.301029996,73.77574327
2003,46,Married,White,Some College,Middle Atlantic,Information,Very Good,Yes,4.602059991,99.6894637
2009,26,Never Married,White,Some College,Middle Atlantic,Industrial,Very Good,No,4.544068044,94.07271475
2006,43,Married,White,Below HS Grad,Middle Atlantic,Information,Very Good,Yes,4.556302501,95.23071257
2007,36,Married,White,HS Grad,Middle Atlantic,Information,Very Good,Yes,4.84509804,127.1157438
2003,54,Separated,White,Some College,Middle Atlantic,Information,Good,Yes,4.602059991,99.6894637
2003,62,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.561101384,95.68881191
2006,40,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.698970004,109.8339856
2006,53,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Yes,4.77815125,118.8843593
2007,48,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,5.176091259,176.9896505
2004,23,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,No,4.113943352,61.18752643
2009,34,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.397940009,81.28325328
2004,43,Married,White,College Grad,Middle Atlantic,Information,Very Good,No,5.546741258,256.4006496
2006,55,Married,White,HS Grad,Middle Atlantic,Information,Good,Yes,4.397940009,81.28325328
2007,59,Never Married,White,HS Grad,Middle Atlantic,Information,Very Good,Yes,4.397940009,81.28325328
2007,60,Married,White,HS Grad,Middle Atlantic,Information,Very Good,No,4.021189299,55.76739051
2009,49,Never Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.322219295,75.35567932
2006,45,Married,Asian,Some College,Middle Atlantic,Industrial,Very Good,Yes,4.875061263,130.9821774
2006,31,Divorced,White,HS Grad,Middle Atlantic,Industrial,Very Good,No,3.77815125,43.73511168
2004,34,Never Married,White,College Grad,Middle Atlantic,Information,Good,Yes,4.740362689,114.4757133
2005,26,Never Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,4.740362689,114.4757133
2007,22,Never Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,No,4.397940009,81.28325328
2004,40,Married,White,HS Grad,Middle Atlantic,Information,Good,No,4.227886705,68.5721657
2009,41,Married,White,Some College,Middle Atlantic,Information,Very Good,Yes,4.698970004,109.8339856
2006,36,Never Married,Black,Some College,Middle Atlantic,Industrial,Very Good,Yes,4.579783597,97.49329405
2007,38,Married,White,Below HS Grad,Middle Atlantic,Industrial,Very Good,No,4.133538908,62.39835472
2003,48,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,No,4.579783597,97.49329405
2006,47,Married,White,Some College,Middle Atlantic,Information,Very Good,Yes,4.903089987,134.7053751
2005,47,Separated,White,Below HS Grad,Middle Atlantic,Industrial,Good,No,4.113943352,61.18752643
2007,35,Married,White,College Grad,Middle Atlantic,Information,Good,No,4.77815125,118.8843593
2008,49,Married,Asian,HS Grad,Middle Atlantic,Information,Very Good,Yes,4.176091259,65.11085372
2004,40,Married,White,Some College,Middle Atlantic,Information,Very Good,Yes,4.698970004,109.8339856
2004,32,Widowed,Asian,College Grad,Middle Atlantic,Industrial,Very Good,No,4.653212514,104.9215065
2008,57,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Yes,4.301029996,73.77574327
2008,56,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Yes,4.954242509,141.7751723
2009,73,Married,White,Below HS Grad,Middle Atlantic,Industrial,Good,No,4.505149978,90.48191336
2007,29,Never Married,White,HS Grad,Middle Atlantic,Industrial,Good,Yes,4.301029996,73.77574327
2003,49,Married,Asian,Advanced Degree,Middle Atlantic,Industrial,Very Good,Yes,4.903089987,134.7053751
2009,30,Never Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.698970004,109.8339856
2008,29,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.51851394,91.69922611
2004,36,Married,White,Some College,Middle Atlantic,Information,Very Good,No,4.556302501,95.23071257
2009,39,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,5.053078443,156.5035109
2007,48,Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,4.653212514,104.9215065
2006,45,Married,Black,College Grad,Middle Atlantic,Industrial,Very Good,Yes,4.602059991,99.6894637
2004,50,Married,White,College Grad,Middle Atlantic,Industrial,Good,No,4,54.59815003
2003,42,Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,3.477121255,32.36641317
2007,58,Married,White,Some College,Middle Atlantic,Industrial,Good,No,4.77815125,118.8843593
2007,48,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.698970004,109.8339856
2003,48,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Yes,4.698970004,109.8339856
2005,45,Married,White,Some College,Middle Atlantic,Information,Very Good,Yes,4.77815125,118.8843593
2007,41,Divorced,White,Some College,Middle Atlantic,Industrial,Very Good,Yes,4.707570176,110.7826503
2008,27,Never Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.538573734,93.55726735
2004,44,Married,White,HS Grad,Middle Atlantic,Information,Very Good,Yes,4.698970004,109.8339856
2003,32,Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,4.77815125,118.8843593
2006,46,Married,White,Below HS Grad,Middle Atlantic,Information,Very Good,Yes,4.77815125,118.8843593
2005,52,Married,Black,HS Grad,Middle Atlantic,Information,Good,No,3.954242509,52.15617117
